epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,28536.8,1.09218,0.85244,1.25604,0.86133,0.8404,0.88748,0.57509,0.84268,0.55737,1.18051,0.00307,0.00307,0.00307
44,29200.1,1.08185,0.84727,1.24451,0.85662,0.84307,0.8834,0.57449,0.84128,0.56109,1.17911,0.002905,0.002905,0.002905
45,29858.7,1.07122,0.84017,1.24308,0.86217,0.83645,0.88815,0.57895,0.83568,0.5528,1.17403,0.00274,0.00274,0.00274
46,30518.7,1.06775,0.83375,1.23822,0.85983,0.84637,0.88802,0.57763,0.83381,0.54888,1.17394,0.002575,0.002575,0.002575
47,31178.4,1.06271,0.82334,1.23384,0.84966,0.84946,0.89098,0.58131,0.82935,0.54088,1.17015,0.00241,0.00241,0.00241
48,31836.6,1.05275,0.81177,1.23171,0.85744,0.83895,0.8896,0.57994,0.8292,0.53594,1.16888,0.002245,0.002245,0.002245
49,32495.8,1.04575,0.80198,1.22163,0.86635,0.82933,0.88993,0.58224,0.82659,0.53171,1.16406,0.00208,0.00208,0.00208
50,33155.6,1.04305,0.79877,1.22067,0.85576,0.84782,0.89215,0.58221,0.8261,0.52708,1.16356,0.001915,0.001915,0.001915
51,33789.7,0.97006,0.65221,1.18061,0.85956,0.84741,0.894,0.58389,0.82524,0.52428,1.16211,0.00175,0.00175,0.00175
52,34429.8,0.95172,0.62988,1.16548,0.85883,0.8509,0.8942,0.58472,0.81984,0.52036,1.15725,0.001585,0.001585,0.001585
53,35069.6,0.93958,0.61535,1.15967,0.86663,0.84902,0.89577,0.58686,0.81613,0.51589,1.15336,0.00142,0.00142,0.00142
54,35712.7,0.92738,0.60557,1.1458,0.8648,0.8495,0.89526,0.58551,0.8137,0.51399,1.14986,0.001255,0.001255,0.001255
55,36346,0.91999,0.60526,1.1452,0.86657,0.84407,0.89482,0.58564,0.81021,0.51268,1.14741,0.00109,0.00109,0.00109
56,36977.5,0.91065,0.5861,1.1387,0.86307,0.84746,0.89291,0.58405,0.80815,0.51154,1.14563,0.000925,0.000925,0.000925
57,37610.5,0.90047,0.57886,1.1331,0.85943,0.84733,0.89229,0.58324,0.80787,0.51085,1.14554,0.00076,0.00076,0.00076
58,38246.7,0.89053,0.57413,1.12374,0.86417,0.844,0.89107,0.58341,0.80753,0.50878,1.14528,0.000595,0.000595,0.000595
59,38878.1,0.88473,0.56464,1.1212,0.86379,0.84566,0.89012,0.58192,0.80585,0.50685,1.14394,0.00043,0.00043,0.00043
60,39511.9,0.88032,0.56005,1.1177,0.86642,0.8442,0.89062,0.58174,0.80557,0.50557,1.1434,0.000265,0.000265,0.000265
